fg%,3p%,ft,tov%,ortg_max,drtg_max,home
0.517,0.371,27.0,12.1,209.0,124.0,1
0.564,0.579,24.0,15.5,206.0,121.0,0
0.4,0.188,16.0,8.7,167.0,105.0,1
0.407,0.355,19.0,9.5,140.0,105.0,1
0.451,0.395,12.0,11.5,158.0,102.0,1
0.484,0.462,28.0,5.2,239.0,111.0,0
0.421,0.28,30.0,8.8,222.0,130.0,0
0.393,0.25,16.0,12.4,147.0,112.0,0
0.406,0.29,8.0,10.6,205.0,95.0,1
0.506,0.318,19.0,19.2,137.0,114.0,1
0.5,0.5,14.0,13.6,208.0,109.0,0
0.44,0.29,13.0,13.2,143.0,109.0,0
0.538,0.452,11.0,13.4,147.0,117.0,1
0.466,0.4,11.0,11.2,156.0,136.0,1
0.511,0.269,11.0,14.5,144.0,112.0,1
0.586,0.345,8.0,14.9,149.0,106.0,1
0.418,0.35,24.0,8.3,144.0,102.0,0
0.388,0.256,28.0,14.0,250.0,100.0,1
0.411,0.32,22.0,10.4,200.0,121.0,0
0.392,0.256,16.0,13.1,151.0,96.0,1
0.513,0.357,17.0,14.2,154.0,131.0,0
0.487,0.263,19.0,10.2,214.0,121.0,0
0.482,0.444,23.0,10.5,199.0,121.0,0
0.441,0.421,11.0,12.1,279.0,109.0,1
0.518,0.382,9.0,8.2,171.0,128.0,0
0.456,0.379,16.0,12.8,151.0,131.0,0
0.483,0.3,15.0,11.7,125.0,106.0,1
0.402,0.227,21.0,8.7,215.0,118.0,0
0.361,0.308,21.0,14.5,204.0,124.0,0
0.368,0.414,33.0,15.2,165.0,116.0,0
0.391,0.358,15.0,9.3,114.0,115.0,0
0.549,0.5,17.0,12.1,201.0,130.0,0
0.554,0.481,24.0,14.1,189.0,127.0,0
0.438,0.4,13.0,8.2,250.0,96.0,1
0.425,0.316,17.0,12.6,146.0,113.0,1
0.488,0.469,18.0,8.1,154.0,120.0,1
0.468,0.37,29.0,13.0,195.0,114.0,1
0.488,0.313,15.0,17.1,153.0,109.0,0
0.415,0.234,19.0,8.0,163.0,120.0,1
0.517,0.289,26.0,12.8,167.0,123.0,0
0.463,0.414,16.0,15.0,154.0,120.0,1
0.5,0.359,7.0,9.9,138.0,129.0,0
0.443,0.346,14.0,9.5,161.0,121.0,1
0.4,0.318,17.0,14.8,148.0,112.0,1
0.531,0.407,16.0,18.6,227.0,114.0,0
0.457,0.385,16.0,11.7,153.0,126.0,0
0.485,0.346,11.0,9.5,175.0,128.0,1
0.43,0.282,19.0,11.2,250.0,114.0,1
0.542,0.3,11.0,14.2,152.0,119.0,0
0.486,0.44,11.0,18.2,200.0,134.0,0
0.346,0.275,16.0,6.4,167.0,107.0,1
0.433,0.359,19.0,5.7,146.0,130.0,0
0.418,0.222,22.0,14.0,131.0,121.0,0
0.513,0.25,16.0,14.7,164.0,102.0,0
0.505,0.472,8.0,8.9,251.0,121.0,0
0.402,0.333,8.0,14.1,151.0,107.0,1
0.431,0.303,22.0,9.6,179.0,112.0,0
0.563,0.514,11.0,16.1,169.0,117.0,0
0.443,0.32,27.0,15.6,242.0,126.0,0
0.422,0.357,28.0,12.6,129.0,113.0,0
0.398,0.333,15.0,9.1,185.0,116.0,1
0.5,0.273,8.0,6.2,156.0,107.0,0
0.512,0.355,13.0,15.2,131.0,120.0,1
0.418,0.28,19.0,11.9,132.0,104.0,1
0.543,0.4,12.0,17.0,137.0,111.0,0
0.435,0.31,17.0,8.9,153.0,127.0,1
0.393,0.3,15.0,13.2,200.0,106.0,0
0.463,0.36,23.0,8.5,154.0,138.0,1
0.437,0.222,19.0,5.8,192.0,108.0,1
0.455,0.424,25.0,11.4,162.0,135.0,1
0.571,0.512,14.0,16.2,242.0,114.0,1
0.39,0.261,14.0,14.8,125.0,116.0,1
0.46,0.387,23.0,10.8,169.0,111.0,1
0.593,0.415,20.0,16.4,210.0,131.0,0
0.378,0.25,12.0,13.9,224.0,106.0,1
0.442,0.326,14.0,6.5,192.0,115.0,1
0.5,0.39,20.0,13.4,170.0,130.0,0
0.494,0.393,16.0,17.1,161.0,116.0,1
0.52,0.265,25.0,10.8,173.0,126.0,1
0.413,0.36,19.0,14.8,150.0,117.0,0
0.511,0.389,32.0,15.8,163.0,122.0,0
0.551,0.441,8.0,14.6,231.0,109.0,0
0.427,0.3,35.0,9.9,214.0,139.0,1
0.54,0.469,23.0,12.3,170.0,131.0,1
0.413,0.292,19.0,10.4,162.0,144.0,0
0.473,0.324,18.0,9.1,227.0,108.0,1
0.438,0.344,16.0,9.2,183.0,144.0,1
0.489,0.4,18.0,16.9,227.0,110.0,0
0.483,0.314,10.0,14.7,200.0,120.0,0
0.505,0.429,7.0,8.4,166.0,124.0,0
0.434,0.364,13.0,18.2,233.0,98.0,0
0.417,0.368,12.0,6.0,173.0,115.0,0
0.481,0.462,28.0,17.4,241.0,113.0,1
0.515,0.396,30.0,7.1,249.0,132.0,0
0.385,0.333,18.0,5.4,149.0,113.0,1
0.404,0.136,11.0,5.3,147.0,125.0,0
0.488,0.476,13.0,5.4,300.0,141.0,0
0.438,0.455,26.0,13.5,164.0,119.0,0
0.495,0.375,20.0,13.8,205.0,120.0,1
0.4,0.32,16.0,13.7,177.0,124.0,1
0.488,0.3,27.0,9.3,200.0,118.0,1
0.5,0.375,21.0,9.4,158.0,130.0,1
0.429,0.273,13.0,11.9,200.0,130.0,1
0.536,0.483,21.0,10.6,172.0,135.0,0
0.489,0.323,22.0,11.3,194.0,114.0,0
0.461,0.351,31.0,13.8,156.0,127.0,1
0.484,0.353,10.0,5.6,239.0,123.0,1
0.466,0.344,21.0,12.5,160.0,101.0,1
0.402,0.348,11.0,7.4,224.0,121.0,1
0.465,0.308,17.0,15.6,147.0,112.0,1
0.467,0.424,9.0,10.4,207.0,116.0,1
0.457,0.375,14.0,17.4,187.0,116.0,0
0.511,0.294,9.0,15.4,136.0,119.0,0
0.398,0.333,19.0,15.4,300.0,116.0,1
0.386,0.227,28.0,16.8,250.0,116.0,0
0.475,0.405,25.0,16.2,206.0,110.0,1
0.457,0.243,15.0,11.3,192.0,129.0,1
0.563,0.436,19.0,11.9,300.0,121.0,1
0.536,0.441,11.0,13.7,149.0,116.0,1
0.523,0.267,14.0,17.0,159.0,105.0,0
0.482,0.379,16.0,13.0,179.0,114.0,1
0.43,0.333,16.0,8.3,142.0,111.0,1
0.464,0.391,19.0,15.7,129.0,127.0,0
0.472,0.263,17.0,8.4,149.0,131.0,1
0.435,0.258,36.0,8.8,144.0,129.0,0
0.42,0.281,6.0,11.4,132.0,121.0,0
0.47,0.3,24.0,8.9,200.0,113.0,0
0.418,0.368,20.0,14.1,145.0,109.0,1
0.42,0.281,26.0,9.8,244.0,137.0,1
0.386,0.419,24.0,9.5,129.0,113.0,0
0.494,0.227,16.0,9.2,177.0,125.0,1
0.43,0.4,17.0,13.6,167.0,123.0,1
0.416,0.357,33.0,8.7,187.0,125.0,0
0.389,0.348,17.0,6.6,158.0,131.0,0
0.398,0.31,22.0,15.9,180.0,109.0,0
0.514,0.389,16.0,15.6,175.0,140.0,1
0.411,0.368,17.0,11.2,133.0,125.0,0
0.49,0.429,11.0,14.0,163.0,136.0,1
0.463,0.308,20.0,15.2,214.0,115.0,0
0.526,0.5,15.0,16.6,178.0,94.0,1
0.38,0.258,9.0,10.9,216.0,122.0,0
0.524,0.452,12.0,15.7,154.0,122.0,1
0.4,0.13,10.0,10.4,121.0,118.0,0
0.422,0.192,26.0,9.3,151.0,136.0,1
0.577,0.559,19.0,16.8,174.0,130.0,1
0.494,0.333,19.0,15.1,149.0,128.0,0
0.576,0.486,11.0,12.5,179.0,127.0,0
0.474,0.333,13.0,18.5,138.0,118.0,0
0.365,0.194,19.0,10.1,129.0,112.0,0
0.392,0.2,29.0,13.8,200.0,126.0,1
0.378,0.302,10.0,12.0,123.0,111.0,0
0.42,0.214,16.0,9.2,147.0,115.0,1
0.391,0.357,16.0,10.3,177.0,116.0,0
0.556,0.514,32.0,11.7,179.0,131.0,1
0.455,0.412,23.0,4.8,142.0,113.0,1
0.495,0.302,21.0,9.9,198.0,114.0,1
0.421,0.37,28.0,18.2,145.0,105.0,1
0.493,0.375,30.0,15.6,163.0,124.0,0
0.47,0.467,15.0,9.0,180.0,115.0,0
0.484,0.321,16.0,10.0,164.0,101.0,0
0.537,0.485,10.0,13.8,162.0,111.0,1
0.476,0.467,11.0,17.2,166.0,100.0,0
0.5,0.379,22.0,10.3,207.0,123.0,1
0.5,0.441,23.0,11.8,162.0,122.0,1
0.493,0.444,28.0,14.7,145.0,119.0,1
0.394,0.294,26.0,8.5,185.0,112.0,1
0.576,0.5,16.0,13.1,180.0,120.0,1
0.39,0.292,11.0,14.4,173.0,114.0,0
0.478,0.385,23.0,8.9,166.0,119.0,1
0.4,0.208,20.0,7.8,148.0,106.0,0
0.512,0.395,21.0,13.6,160.0,115.0,0
0.458,0.154,24.0,11.9,185.0,126.0,1
0.457,0.306,23.0,12.1,153.0,138.0,1
0.554,0.32,17.0,16.2,157.0,118.0,0
0.386,0.379,30.0,19.8,176.0,124.0,1
0.506,0.364,14.0,16.4,134.0,126.0,1
0.39,0.357,35.0,8.7,160.0,131.0,0
0.371,0.297,15.0,4.9,183.0,133.0,0
0.389,0.273,14.0,19.0,142.0,128.0,1
0.4,0.256,17.0,14.4,125.0,110.0,0
0.452,0.406,9.0,10.9,166.0,123.0,0
0.384,0.343,14.0,11.2,137.0,114.0,0
0.44,0.371,12.0,16.5,118.0,126.0,0
0.471,0.37,17.0,11.1,143.0,128.0,0
0.495,0.452,16.0,12.1,168.0,120.0,0
0.438,0.381,22.0,13.7,150.0,123.0,1
0.571,0.536,22.0,11.0,207.0,129.0,1
0.456,0.238,20.0,11.6,180.0,112.0,0
0.402,0.15,24.0,9.1,138.0,109.0,0
0.488,0.44,24.0,15.4,196.0,112.0,1
0.478,0.304,22.0,9.9,150.0,110.0,0
0.487,0.419,24.0,14.9,231.0,111.0,1
0.512,0.462,17.0,11.4,242.0,114.0,1
0.506,0.348,14.0,7.9,206.0,134.0,0
0.458,0.516,24.0,18.7,229.0,127.0,1
0.393,0.265,6.0,12.8,200.0,123.0,1
0.5,0.31,19.0,12.6,221.0,140.0,1
0.427,0.44,16.0,9.0,128.0,131.0,1
0.471,0.393,23.0,14.8,142.0,104.0,0
0.46,0.417,17.0,9.3,153.0,129.0,1
0.413,0.408,24.0,10.3,192.0,124.0,1
0.391,0.345,21.0,8.5,243.0,108.0,0
0.473,0.421,13.0,10.0,158.0,125.0,1
0.415,0.265,14.0,10.9,223.0,132.0,1
0.457,0.333,14.0,13.8,200.0,110.0,0
0.462,0.448,14.0,10.5,198.0,128.0,1
0.466,0.4,18.0,15.8,200.0,120.0,1
0.449,0.524,14.0,11.1,274.0,126.0,1
0.507,0.441,17.0,16.2,169.0,134.0,0
0.482,0.487,14.0,13.1,149.0,117.0,0
0.462,0.231,19.0,7.1,166.0,115.0,0
0.416,0.429,15.0,15.6,232.0,108.0,1
0.472,0.368,16.0,6.6,169.0,132.0,1
0.447,0.375,26.0,11.6,250.0,148.0,0
0.402,0.357,19.0,11.1,143.0,117.0,0
0.394,0.364,20.0,15.3,144.0,133.0,0
0.531,0.341,7.0,14.0,163.0,112.0,0
0.5,0.318,16.0,14.0,216.0,115.0,0
0.444,0.256,10.0,6.8,214.0,108.0,1
0.383,0.333,9.0,9.8,203.0,108.0,1
0.407,0.207,16.0,10.0,136.0,117.0,1
0.447,0.367,18.0,10.3,161.0,116.0,0
0.329,0.304,10.0,12.5,150.0,116.0,0
0.465,0.394,14.0,11.2,168.0,107.0,1
0.441,0.333,10.0,6.6,150.0,113.0,1
0.494,0.429,26.0,7.6,250.0,129.0,0
0.432,0.441,12.0,16.9,156.0,103.0,1
0.495,0.35,13.0,11.4,137.0,98.0,1
0.365,0.267,21.0,16.3,246.0,123.0,0
0.361,0.25,27.0,17.9,155.0,130.0,0
0.482,0.304,16.0,10.7,235.0,119.0,1
0.404,0.242,10.0,12.9,229.0,122.0,1
0.443,0.4,26.0,16.9,300.0,129.0,0
0.444,0.333,19.0,6.5,227.0,102.0,0
0.472,0.394,10.0,9.5,145.0,121.0,0
0.405,0.529,13.0,8.1,177.0,118.0,0
0.423,0.31,13.0,14.1,208.0,111.0,0
0.441,0.25,14.0,14.2,132.0,118.0,0
0.43,0.308,19.0,4.3,146.0,112.0,0
0.46,0.323,18.0,11.0,161.0,122.0,1
0.367,0.433,19.0,10.0,151.0,108.0,0
0.536,0.393,21.0,14.1,136.0,134.0,1
0.441,0.258,11.0,13.6,118.0,117.0,1
0.397,0.313,7.0,17.8,107.0,108.0,1
0.407,0.297,9.0,6.8,158.0,117.0,0
0.469,0.429,21.0,10.7,155.0,122.0,1
0.443,0.375,24.0,18.0,180.0,113.0,0
0.435,0.465,23.0,8.7,250.0,102.0,0
0.455,0.41,27.0,6.1,250.0,108.0,1
0.42,0.263,24.0,18.5,150.0,130.0,0
0.365,0.28,9.0,7.2,206.0,122.0,0
0.444,0.353,23.0,14.5,138.0,116.0,0
0.453,0.286,24.0,6.1,300.0,114.0,1
0.483,0.375,22.0,10.0,155.0,138.0,1
0.426,0.316,22.0,12.3,147.0,117.0,1
0.5,0.462,14.0,18.0,200.0,106.0,1
0.415,0.333,22.0,14.6,221.0,136.0,0
0.411,0.387,20.0,10.0,148.0,107.0,1
0.347,0.308,6.0,12.1,122.0,105.0,0
0.42,0.333,16.0,13.3,238.0,124.0,0
0.479,0.361,21.0,17.5,153.0,134.0,0
0.47,0.314,18.0,11.6,223.0,111.0,1
0.5,0.422,15.0,17.2,200.0,116.0,1
0.513,0.333,12.0,16.9,147.0,117.0,0
0.406,0.293,5.0,8.4,125.0,125.0,1
0.515,0.273,22.0,10.9,200.0,112.0,1
0.447,0.389,26.0,14.6,150.0,119.0,0
0.536,0.423,13.0,8.1,165.0,126.0,0
0.441,0.32,9.0,10.0,157.0,115.0,1
0.448,0.286,24.0,10.8,150.0,113.0,0
0.469,0.444,18.0,11.0,146.0,119.0,0
0.494,0.478,15.0,12.7,158.0,110.0,1
0.484,0.389,15.0,4.7,158.0,127.0,0
0.518,0.483,10.0,15.7,228.0,116.0,1
0.417,0.35,13.0,12.7,190.0,119.0,1
0.516,0.4,23.0,14.3,289.0,107.0,1
0.452,0.464,9.0,11.8,145.0,110.0,0
0.467,0.394,20.0,16.5,147.0,124.0,0
0.529,0.4,16.0,14.6,163.0,107.0,1
0.4,0.227,20.0,12.5,269.0,125.0,0
0.359,0.372,13.0,11.4,149.0,129.0,0
0.469,0.423,6.0,15.1,145.0,125.0,0
0.426,0.439,9.0,8.4,218.0,140.0,0
0.462,0.444,11.0,8.4,149.0,124.0,1
0.468,0.4,21.0,11.0,166.0,115.0,1
0.523,0.2,21.0,9.2,177.0,118.0,1
0.466,0.414,10.0,14.6,141.0,121.0,1
0.476,0.318,24.0,15.0,163.0,131.0,0
0.354,0.341,14.0,9.5,201.0,127.0,0
0.494,0.389,17.0,13.4,142.0,125.0,0
0.429,0.345,22.0,14.6,133.0,110.0,0
0.322,0.175,25.0,4.6,176.0,122.0,0
0.44,0.267,11.0,11.8,149.0,100.0,1
0.394,0.194,12.0,11.3,155.0,107.0,0
0.424,0.333,16.0,10.5,123.0,97.0,1
0.552,0.36,13.0,11.3,157.0,125.0,1
0.42,0.2,11.0,17.4,154.0,105.0,1
0.419,0.31,17.0,9.5,167.0,106.0,0
0.524,0.487,13.0,16.8,174.0,128.0,0
0.449,0.433,22.0,10.0,213.0,111.0,0
0.596,0.467,13.0,9.3,166.0,125.0,1
0.469,0.444,20.0,14.0,187.0,115.0,1
0.539,0.464,8.0,13.1,146.0,117.0,1
0.481,0.405,9.0,9.1,183.0,121.0,0
0.43,0.433,23.0,9.3,162.0,120.0,0
0.567,0.444,14.0,9.3,169.0,93.0,1
0.489,0.351,11.0,10.0,145.0,103.0,0
0.512,0.414,19.0,11.6,175.0,125.0,1
0.413,0.359,13.0,10.7,233.0,125.0,1
0.477,0.273,22.0,12.6,235.0,139.0,1
0.552,0.45,16.0,10.3,211.0,130.0,0
0.493,0.6,20.0,13.6,233.0,111.0,1
0.432,0.423,24.0,10.0,171.0,111.0,0
0.326,0.188,13.0,14.1,205.0,130.0,0
0.419,0.25,23.0,8.7,159.0,115.0,1
0.481,0.421,13.0,12.1,159.0,112.0,0
0.427,0.452,12.0,15.5,240.0,104.0,1
0.512,0.276,19.0,17.1,197.0,124.0,0
0.424,0.273,16.0,9.7,138.0,146.0,0
0.471,0.45,8.0,10.7,149.0,133.0,0
0.527,0.4,15.0,18.0,204.0,131.0,0
0.417,0.257,9.0,10.5,135.0,107.0,0
0.506,0.364,13.0,12.6,250.0,113.0,0
0.523,0.514,14.0,12.3,179.0,112.0,0
0.489,0.35,12.0,10.0,158.0,104.0,1
0.398,0.304,24.0,13.4,144.0,102.0,1
0.527,0.25,8.0,13.0,151.0,124.0,1
0.469,0.438,29.0,9.8,165.0,126.0,1
0.409,0.385,13.0,8.5,176.0,128.0,1
0.4,0.297,16.0,6.8,148.0,105.0,1
0.464,0.417,20.0,11.9,136.0,110.0,1
0.516,0.468,15.0,7.2,167.0,137.0,0
0.509,0.357,16.0,8.6,227.0,124.0,0
0.412,0.318,16.0,10.5,157.0,116.0,0
0.514,0.32,15.0,12.8,200.0,119.0,1
0.466,0.306,14.0,11.8,145.0,115.0,1
0.46,0.353,19.0,7.6,246.0,119.0,0
0.543,0.5,12.0,9.0,179.0,119.0,1
0.451,0.371,14.0,9.9,250.0,109.0,1
0.602,0.633,17.0,11.8,250.0,126.0,1
0.396,0.333,14.0,9.5,151.0,119.0,1
0.513,0.333,15.0,15.6,273.0,125.0,0
0.358,0.219,22.0,5.2,185.0,129.0,1
0.476,0.341,6.0,18.1,263.0,96.0,1
0.391,0.243,11.0,14.5,158.0,125.0,0
0.5,0.425,17.0,16.1,146.0,108.0,1
0.458,0.297,26.0,13.4,152.0,115.0,0
0.495,0.415,14.0,10.7,256.0,110.0,0
0.489,0.303,13.0,9.3,174.0,127.0,1
0.451,0.275,22.0,12.6,123.0,107.0,1
0.403,0.364,35.0,11.0,143.0,108.0,1
0.414,0.379,28.0,11.1,173.0,126.0,0
0.415,0.333,16.0,11.5,202.0,94.0,1
0.516,0.476,8.0,11.7,198.0,91.0,0
0.449,0.273,18.0,8.4,199.0,147.0,0
0.463,0.346,12.0,9.1,148.0,112.0,1
0.52,0.484,29.0,15.8,182.0,117.0,0
0.422,0.457,7.0,13.3,200.0,132.0,1
0.351,0.233,18.0,12.1,121.0,127.0,0
0.409,0.083,10.0,9.9,115.0,91.0,0
0.473,0.316,25.0,12.6,250.0,110.0,0
0.414,0.077,16.0,15.6,127.0,109.0,0
0.419,0.282,18.0,9.6,211.0,114.0,1
0.398,0.37,19.0,14.9,137.0,108.0,0
0.422,0.348,13.0,16.5,126.0,105.0,1
0.297,0.235,17.0,14.4,130.0,131.0,0
0.525,0.524,26.0,14.5,300.0,132.0,0
0.379,0.455,10.0,5.6,166.0,115.0,0
0.379,0.231,27.0,8.1,149.0,119.0,0
0.489,0.487,9.0,14.9,173.0,105.0,1
0.442,0.35,27.0,14.0,157.0,133.0,0
0.443,0.207,16.0,17.6,162.0,126.0,1
0.419,0.333,17.0,14.2,137.0,99.0,0
0.423,0.179,17.0,10.2,137.0,108.0,1
0.443,0.317,23.0,7.6,186.0,124.0,1
0.517,0.348,21.0,11.6,250.0,110.0,1
0.463,0.393,20.0,16.4,158.0,120.0,1
0.59,0.542,16.0,12.5,191.0,135.0,0
0.36,0.302,18.0,15.5,151.0,119.0,0
0.379,0.419,23.0,16.8,136.0,109.0,1
0.453,0.405,25.0,14.0,149.0,113.0,1
0.519,0.667,18.0,14.4,184.0,107.0,1
0.512,0.435,10.0,18.0,147.0,122.0,0
0.398,0.229,12.0,16.0,206.0,109.0,1
0.46,0.304,22.0,16.3,131.0,111.0,0
0.409,0.36,14.0,11.1,142.0,122.0,1
0.506,0.452,21.0,5.9,192.0,130.0,0
0.446,0.333,8.0,13.4,300.0,99.0,1
0.544,0.231,18.0,8.2,211.0,125.0,0
0.43,0.292,12.0,7.4,167.0,128.0,1
0.511,0.462,22.0,8.4,236.0,121.0,0
0.488,0.267,29.0,11.7,159.0,120.0,1
0.373,0.31,15.0,14.0,109.0,109.0,1
0.568,0.435,18.0,6.3,230.0,115.0,0
0.493,0.448,11.0,17.4,159.0,119.0,1
0.439,0.346,19.0,14.9,169.0,113.0,1
0.54,0.4,16.0,14.4,172.0,122.0,0
0.437,0.306,13.0,9.5,140.0,137.0,1
0.49,0.359,7.0,11.7,155.0,111.0,1
0.471,0.346,14.0,12.4,122.0,104.0,1
0.5,0.294,17.0,10.2,183.0,117.0,0
0.458,0.304,9.0,12.9,146.0,124.0,1
0.446,0.444,8.0,12.5,155.0,126.0,1
0.413,0.3,19.0,18.5,148.0,124.0,0
0.477,0.457,14.0,15.5,155.0,106.0,1
0.488,0.37,16.0,7.8,168.0,115.0,0
0.524,0.435,13.0,11.0,245.0,116.0,0
0.427,0.333,17.0,11.9,129.0,117.0,0
0.495,0.455,10.0,7.5,176.0,147.0,1
0.416,0.24,18.0,20.7,219.0,107.0,0
0.412,0.385,26.0,5.2,215.0,115.0,1
0.452,0.353,32.0,8.2,152.0,116.0,0
0.554,0.379,12.0,12.6,173.0,124.0,1
0.449,0.357,15.0,11.7,173.0,115.0,0
0.478,0.375,17.0,4.7,155.0,106.0,1
0.512,0.361,14.0,14.5,156.0,115.0,1
0.414,0.326,16.0,13.3,130.0,131.0,0
0.512,0.419,6.0,16.0,185.0,126.0,1
0.371,0.29,11.0,16.7,134.0,100.0,1
0.429,0.367,27.0,11.7,172.0,118.0,0
0.493,0.5,8.0,23.3,152.0,108.0,1
0.469,0.452,20.0,18.1,132.0,116.0,0
0.488,0.647,6.0,13.1,175.0,127.0,1
0.494,0.361,15.0,12.9,209.0,134.0,1
0.395,0.324,10.0,18.0,142.0,140.0,0
0.453,0.318,8.0,8.9,187.0,128.0,0
0.437,0.258,20.0,7.3,131.0,100.0,1
0.43,0.192,10.0,14.6,154.0,119.0,0
0.464,0.36,14.0,15.6,205.0,129.0,0
0.474,0.409,13.0,7.3,187.0,96.0,0
0.39,0.323,15.0,7.6,155.0,131.0,1
0.602,0.733,20.0,11.5,222.0,126.0,1
0.506,0.417,18.0,13.7,155.0,111.0,0
0.512,0.5,15.0,8.6,189.0,124.0,0
0.515,0.452,10.0,12.4,163.0,130.0,0
0.538,0.385,15.0,5.7,163.0,130.0,0
0.449,0.304,32.0,15.8,155.0,99.0,0
0.443,0.313,29.0,13.4,150.0,116.0,0
0.488,0.368,13.0,12.3,145.0,121.0,0
0.425,0.294,24.0,15.2,176.0,106.0,0
0.527,0.458,16.0,11.8,228.0,110.0,0
0.386,0.306,22.0,7.3,154.0,113.0,0
0.413,0.267,18.0,15.1,154.0,130.0,0
0.542,0.318,21.0,11.3,178.0,117.0,0
0.391,0.143,12.0,11.2,164.0,130.0,0
0.353,0.321,17.0,13.0,250.0,117.0,0
0.466,0.333,10.0,12.2,212.0,124.0,0
0.435,0.367,14.0,13.7,232.0,120.0,0
0.452,0.359,17.0,15.3,138.0,132.0,1
0.364,0.4,15.0,13.7,139.0,105.0,0
0.486,0.426,23.0,14.6,159.0,115.0,1
0.524,0.438,19.0,12.1,206.0,117.0,1
0.423,0.214,22.0,10.6,249.0,112.0,0
0.477,0.436,15.0,8.6,240.0,118.0,1
0.505,0.257,11.0,13.1,168.0,112.0,0
0.5,0.36,16.0,12.7,138.0,125.0,1
0.455,0.258,22.0,10.6,156.0,119.0,1
0.466,0.308,16.0,17.2,150.0,111.0,1
0.429,0.325,17.0,10.9,246.0,107.0,0
0.402,0.455,14.0,14.4,154.0,108.0,0
0.493,0.429,8.0,17.6,164.0,103.0,1
0.5,0.455,14.0,14.7,254.0,137.0,0
0.526,0.351,13.0,19.6,232.0,101.0,1
0.402,0.333,11.0,16.7,300.0,101.0,1
0.456,0.357,17.0,10.8,270.0,136.0,0
0.5,0.393,15.0,14.1,200.0,103.0,1
0.537,0.35,9.0,13.7,200.0,108.0,0
0.5,0.333,20.0,9.7,215.0,103.0,1
0.461,0.323,21.0,12.9,123.0,115.0,0
0.434,0.512,14.0,9.3,135.0,122.0,0
0.61,0.545,15.0,20.7,173.0,137.0,0
0.43,0.229,21.0,15.4,158.0,130.0,1
0.33,0.179,13.0,10.7,131.0,101.0,1
0.483,0.4,20.0,15.3,145.0,122.0,0
0.429,0.367,18.0,11.4,194.0,122.0,1
0.455,0.32,13.0,15.1,151.0,128.0,1
0.512,0.455,29.0,15.7,153.0,114.0,1
0.386,0.241,16.0,14.8,132.0,113.0,1
0.429,0.444,19.0,8.4,166.0,128.0,0
0.429,0.381,21.0,17.3,185.0,110.0,1
0.571,0.417,14.0,13.3,221.0,111.0,1
0.524,0.323,15.0,16.9,157.0,132.0,1
0.389,0.278,21.0,2.9,214.0,98.0,1
0.422,0.273,30.0,9.3,156.0,113.0,0
0.396,0.344,23.0,11.4,300.0,129.0,1
0.315,0.241,26.0,9.0,124.0,107.0,0
0.568,0.6,18.0,10.9,278.0,122.0,1
0.629,0.514,16.0,12.5,300.0,122.0,1
0.372,0.423,30.0,14.6,167.0,113.0,0
0.5,0.6,27.0,10.5,200.0,124.0,1
0.371,0.292,13.0,15.7,134.0,120.0,0
0.451,0.429,25.0,14.9,172.0,123.0,0
0.57,0.333,15.0,9.8,207.0,100.0,0
0.565,0.321,31.0,14.4,211.0,137.0,1
0.494,0.474,8.0,9.0,190.0,143.0,0
0.513,0.395,20.0,14.9,286.0,120.0,1
0.406,0.355,16.0,8.7,166.0,105.0,1
0.483,0.308,11.0,11.3,183.0,139.0,0
0.473,0.258,8.0,11.7,150.0,123.0,0
0.394,0.324,20.0,11.8,142.0,122.0,1
0.453,0.231,22.0,8.6,167.0,124.0,1
0.442,0.4,17.0,8.0,182.0,107.0,1
0.477,0.379,29.0,11.3,173.0,120.0,0
0.547,0.48,16.0,9.7,234.0,106.0,1
0.529,0.389,27.0,12.5,158.0,111.0,1
0.451,0.484,15.0,13.5,210.0,113.0,1
0.449,0.304,14.0,14.8,203.0,137.0,0
0.479,0.407,30.0,12.8,200.0,116.0,0
0.449,0.438,13.0,13.6,145.0,101.0,0
0.506,0.448,12.0,9.5,155.0,118.0,0
0.375,0.366,21.0,8.2,145.0,115.0,1
0.471,0.422,24.0,9.3,248.0,120.0,0
0.472,0.419,16.0,9.9,163.0,107.0,0
0.536,0.455,28.0,13.3,166.0,119.0,0
0.517,0.313,19.0,12.5,166.0,136.0,1
0.434,0.263,14.0,12.6,121.0,125.0,0
0.45,0.407,20.0,11.6,174.0,125.0,0
0.378,0.25,27.0,15.2,130.0,147.0,0
0.457,0.323,12.0,12.2,164.0,117.0,1
0.495,0.435,10.0,8.2,169.0,132.0,0
0.402,0.268,8.0,12.9,245.0,89.0,0
0.433,0.276,24.0,10.6,135.0,123.0,0
0.423,0.3,19.0,21.8,131.0,112.0,1
0.444,0.375,21.0,5.1,147.0,127.0,1
0.427,0.344,12.0,13.4,209.0,108.0,1
0.435,0.226,18.0,17.5,138.0,112.0,1
0.356,0.16,25.0,8.0,133.0,123.0,1
0.36,0.259,14.0,11.3,174.0,125.0,1
0.388,0.243,26.0,12.3,148.0,93.0,1
0.409,0.265,22.0,12.3,132.0,118.0,0
0.407,0.214,19.0,14.2,219.0,141.0,1
0.444,0.344,18.0,9.0,156.0,111.0,0
0.41,0.37,20.0,14.4,200.0,114.0,1
0.506,0.447,11.0,13.1,236.0,114.0,1
0.5,0.333,28.0,13.7,177.0,126.0,0
0.547,0.444,9.0,13.9,147.0,128.0,0
0.393,0.5,12.0,11.7,129.0,97.0,0
