fg%,3p%,ft,tov%,ortg_max,drtg_max,home
0.494,0.371,12.0,11.2,155.0,135.0,1
0.474,0.429,12.0,10.4,158.0,118.0,1
0.584,0.423,13.0,13.6,184.0,140.0,1
0.45,0.476,15.0,13.2,200.0,123.0,0
0.419,0.4,22.0,11.1,154.0,115.0,0
0.451,0.231,15.0,20.0,121.0,129.0,0
0.518,0.583,16.0,16.4,186.0,111.0,1
0.427,0.313,14.0,14.8,161.0,113.0,0
0.437,0.267,19.0,7.7,156.0,108.0,1
0.384,0.267,18.0,7.7,146.0,116.0,1
0.376,0.229,21.0,12.7,153.0,119.0,1
0.393,0.25,15.0,15.2,121.0,99.0,0
0.393,0.192,25.0,12.6,262.0,122.0,0
0.446,0.364,15.0,14.8,243.0,117.0,1
0.538,0.355,18.0,11.3,188.0,134.0,0
0.442,0.292,20.0,21.6,131.0,123.0,0
0.415,0.333,15.0,16.6,250.0,113.0,0
0.533,0.39,21.0,18.1,189.0,116.0,1
0.5,0.3,15.0,6.8,200.0,125.0,1
0.449,0.37,17.0,15.5,131.0,103.0,0
0.556,0.5,14.0,16.9,208.0,115.0,1
0.382,0.303,15.0,17.5,127.0,126.0,1
0.455,0.421,16.0,12.2,210.0,109.0,0
0.494,0.32,24.0,12.2,300.0,113.0,1
0.465,0.308,22.0,13.0,183.0,120.0,0
0.397,0.152,22.0,19.9,121.0,109.0,0
0.479,0.241,4.0,13.4,132.0,113.0,1
0.446,0.341,23.0,12.3,142.0,100.0,1
0.548,0.379,23.0,17.3,181.0,113.0,1
0.506,0.348,17.0,8.9,201.0,111.0,0
0.51,0.412,13.0,10.9,225.0,92.0,1
0.468,0.387,24.0,15.1,158.0,125.0,0
0.549,0.375,22.0,9.7,212.0,121.0,1
0.578,0.419,18.0,11.5,200.0,112.0,1
0.506,0.35,12.0,14.5,144.0,120.0,0
0.571,0.429,18.0,13.1,182.0,113.0,1
0.447,0.353,12.0,14.7,127.0,114.0,1
0.435,0.31,25.0,7.1,152.0,120.0,0
0.56,0.516,20.0,13.2,168.0,118.0,1
0.427,0.377,25.0,8.4,193.0,123.0,1
0.511,0.333,22.0,8.6,206.0,116.0,1
0.349,0.263,14.0,13.9,151.0,128.0,0
0.553,0.364,23.0,18.6,155.0,115.0,1
0.616,0.528,24.0,9.0,240.0,108.0,1
0.451,0.417,15.0,11.6,151.0,122.0,1
